registered,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Cluster,Customer_Segment
2484,627,1,3126,1,2,2,122,1,Regular Customers
2493,631,1,3348,1,2,2,122,3,Regular Customers
2507,598,1,3409,1,2,2,122,3,Regular Customers
2570,635,1,3141,1,2,2,122,1,Regular Customers
2574,619,1,4036,1,2,2,122,3,Regular Customers
2738,628,1,3267,1,2,2,122,1,Regular Customers
2760,624,1,3429,1,2,2,122,3,Regular Customers
2795,623,1,3204,1,2,2,122,1,Regular Customers
3185,596,1,3958,1,2,2,122,3,Regular Customers
3300,617,1,4073,1,2,2,122,3,Regular Customers
3319,594,1,3855,1,2,2,122,3,Regular Customers
3325,615,1,3872,1,2,2,122,3,Regular Customers
3331,622,1,3944,1,2,2,122,3,Regular Customers
2378,608,1,2633,1,2,1,121,1,Regular Customers
1598,639,1,3249,1,1,2,112,1,Regular Customers
1693,654,1,3117,1,1,2,112,1,Regular Customers
2186,625,1,3744,1,1,2,112,3,Regular Customers
2213,611,1,3351,1,1,2,112,3,Regular Customers
416,705,1,431,1,1,1,111,1,Lost Customers
472,706,1,506,1,1,1,111,1,Lost Customers
491,667,1,605,1,1,1,111,1,Lost Customers
577,663,1,623,1,1,1,111,1,Lost Customers
654,731,1,985,1,1,1,111,1,Lost Customers
670,730,1,801,1,1,1,111,1,Lost Customers
768,723,1,822,1,1,1,111,1,Lost Customers
836,709,1,986,1,1,1,111,1,Lost Customers
883,715,1,1000,1,1,1,111,1,Lost Customers
888,710,1,981,1,1,1,111,1,Lost Customers
891,724,1,959,1,1,1,111,1,Lost Customers
905,696,1,1005,1,1,1,111,1,Lost Customers
912,680,1,1107,1,1,1,111,1,Lost Customers
953,716,1,1204,1,1,1,111,1,Lost Customers
956,702,1,1096,1,1,1,111,1,Lost Customers
975,703,1,1098,1,1,1,111,1,Lost Customers
1026,717,1,1248,1,1,1,111,1,Lost Customers
1103,682,1,1635,1,1,1,111,1,Lost Customers
1129,704,1,1167,1,1,1,111,1,Lost Customers
1137,720,1,1162,1,1,1,111,1,Lost Customers
1173,681,1,1812,1,1,1,111,1,Lost Customers
1184,689,1,1472,1,1,1,111,1,Lost Customers
1192,688,1,1589,1,1,1,111,1,Lost Customers
1220,721,1,1263,1,1,1,111,1,Lost Customers
1221,646,1,1693,1,1,1,111,1,Lost Customers
1229,729,1,1349,1,1,1,111,1,Lost Customers
1269,695,1,1623,1,1,1,111,1,Lost Customers
1280,722,1,1321,1,1,1,111,1,Lost Customers
1299,634,1,1471,1,1,1,111,1,Lost Customers
1313,700,1,1360,1,1,1,111,1,Lost Customers
1330,708,1,1416,1,1,1,111,1,Lost Customers
1341,676,1,1461,1,1,1,111,1,Lost Customers
1354,640,1,2252,1,1,1,111,1,Lost Customers
1362,725,1,1510,1,1,1,111,1,Lost Customers
1365,673,1,1446,1,1,1,111,1,Lost Customers
1367,718,1,1421,1,1,1,111,1,Lost Customers
1376,679,1,1450,1,1,1,111,1,Lost Customers
1408,661,1,2132,1,1,1,111,1,Lost Customers
1424,653,1,2471,1,1,1,111,1,Lost Customers
1435,660,1,2417,1,1,1,111,1,Lost Customers
1437,668,1,2077,1,1,1,111,1,Lost Customers
1459,701,1,1501,1,1,1,111,1,Lost Customers
1466,693,1,1530,1,1,1,111,1,Lost Customers
1468,711,1,1543,1,1,1,111,1,Lost Customers
1489,698,1,1550,1,1,1,111,1,Lost Customers
1491,691,1,1538,1,1,1,111,1,Lost Customers
1515,647,1,2496,1,1,1,111,1,Lost Customers
1545,675,1,1969,1,1,1,111,1,Lost Customers
1552,692,1,1605,1,1,1,111,1,Lost Customers
1562,670,1,1685,1,1,1,111,1,Lost Customers
1572,713,1,1650,1,1,1,111,1,Lost Customers
1576,633,1,2455,1,1,1,111,1,Lost Customers
1592,694,1,1712,1,1,1,111,1,Lost Customers
1597,690,1,1746,1,1,1,111,1,Lost Customers
1620,697,1,1708,1,1,1,111,1,Lost Customers
1675,686,1,1815,1,1,1,111,1,Lost Customers
1676,652,1,2077,1,1,1,111,1,Lost Customers
1687,659,1,2046,1,1,1,111,1,Lost Customers
1699,649,1,1865,1,1,1,111,1,Lost Customers
1700,664,1,1891,1,1,1,111,1,Lost Customers
1705,687,1,1913,1,1,1,111,1,Lost Customers
1708,674,1,2402,1,1,1,111,1,Lost Customers
1714,672,1,1851,1,1,1,111,1,Lost Customers
1767,658,1,2056,1,1,1,111,1,Lost Customers
1777,630,1,2034,1,1,1,111,1,Lost Customers
1778,678,1,1917,1,1,1,111,1,Lost Customers
1799,707,1,1985,1,1,1,111,1,Lost Customers
1806,645,1,2028,1,1,1,111,1,Lost Customers
1817,665,1,2133,1,1,1,111,1,Lost Customers
1844,712,1,1927,1,1,1,111,1,Lost Customers
1871,657,1,2192,1,1,1,111,1,Lost Customers
1897,685,1,2115,1,1,1,111,1,Lost Customers
1903,671,1,2134,1,1,1,111,1,Lost Customers
1910,648,1,2210,1,1,1,111,1,Lost Customers
1918,650,1,2121,1,1,1,111,1,Lost Customers
1920,641,1,2227,1,1,1,111,1,Lost Customers
1953,629,1,2162,1,1,1,111,1,Lost Customers
2108,644,1,2425,1,1,1,111,1,Lost Customers
2216,684,1,2475,1,1,1,111,1,Lost Customers
2243,651,1,2703,1,1,1,111,1,Lost Customers
2419,432,2,7599,2,5,5,255,0,Regular Customers
2549,486,2,8582,2,5,5,255,0,Regular Customers
3107,495,2,7116,2,5,5,255,0,Regular Customers
3348,542,2,9376,2,5,5,255,0,Regular Customers
3413,478,2,9151,2,5,5,255,0,Regular Customers
3840,525,2,9165,2,5,5,255,0,Regular Customers
3848,470,2,8990,2,5,5,255,0,Regular Customers
3854,508,2,9613,2,5,5,255,0,Regular Customers
3896,448,2,9343,2,5,5,255,0,Regular Customers
4044,518,2,9635,2,5,5,255,0,Regular Customers
4181,496,1,5130,2,4,4,244,3,Regular Customers
4220,536,1,5538,2,4,4,244,3,Regular Customers
4332,488,1,5115,2,4,4,244,3,Regular Customers
4372,459,1,5202,2,4,4,244,3,Regular Customers
4377,552,1,5225,2,4,4,244,3,Regular Customers
4411,566,1,5180,2,4,4,244,3,Regular Customers
4414,578,1,5312,2,4,4,244,3,Regular Customers
4488,551,1,5515,2,4,4,244,3,Regular Customers
4138,475,1,4785,2,4,3,243,3,Regular Customers
4157,568,1,5020,2,4,3,243,3,Regular Customers
4164,567,1,4891,2,4,3,243,3,Regular Customers
4186,460,1,4839,2,4,3,243,3,Regular Customers
4196,537,1,5084,2,4,3,243,3,Regular Customers
4267,454,1,4826,2,4,3,243,3,Regular Customers
4370,489,1,5058,2,4,3,243,3,Regular Customers
3385,555,1,5305,2,3,4,234,3,Regular Customers
3420,556,1,5202,2,3,4,234,3,Regular Customers
3473,577,1,5342,2,3,4,234,3,Regular Customers
3505,535,1,5923,2,3,4,234,0,Regular Customers
3595,479,1,5345,2,3,4,234,3,Regular Customers
3603,449,1,5117,2,3,4,234,3,Regular Customers
3647,465,1,5423,2,3,4,234,3,Regular Customers
4116,550,1,5362,2,3,4,234,3,Regular Customers
3356,501,1,4153,2,3,3,233,3,Regular Customers
3466,464,1,5010,2,3,3,233,3,Regular Customers
3480,512,1,4326,2,3,3,233,3,Regular Customers
3488,435,1,4187,2,3,3,233,3,Regular Customers
3537,519,1,4266,2,3,3,233,3,Regular Customers
3563,505,1,4338,2,3,3,233,3,Regular Customers
3596,539,1,4258,2,3,3,233,3,Regular Customers
3617,533,1,4458,2,3,3,233,3,Regular Customers
3628,438,1,4304,2,3,3,233,3,Regular Customers
3634,546,1,4665,2,3,3,233,3,Regular Customers
3643,462,1,4120,2,3,3,233,3,Regular Customers
3688,531,1,4332,2,3,3,233,3,Regular Customers
3695,511,1,4602,2,3,3,233,3,Regular Customers
3724,439,1,4195,2,3,3,233,3,Regular Customers
3725,573,1,4401,2,3,3,233,3,Regular Customers
3771,571,1,4586,2,3,3,233,3,Regular Customers
3777,516,1,4576,2,3,3,233,3,Regular Customers
3784,523,1,4390,2,3,3,233,3,Regular Customers
3789,532,1,4541,2,3,3,233,3,Regular Customers
3813,468,1,4352,2,3,3,233,3,Regular Customers
3838,544,1,4592,2,3,3,233,3,Regular Customers
3843,515,1,4866,2,3,3,233,3,Regular Customers
3845,545,1,4629,2,3,3,233,3,Regular Customers
3846,559,1,4507,2,3,3,233,3,Regular Customers
3852,487,1,4727,2,3,3,233,3,Regular Customers
3857,442,1,4570,2,3,3,233,3,Regular Customers
3875,575,1,4548,2,3,3,233,3,Regular Customers
3893,494,1,4661,2,3,3,233,3,Regular Customers
3901,524,1,4656,2,3,3,233,3,Regular Customers
3905,491,1,4634,2,3,3,233,3,Regular Customers
3916,553,1,4648,2,3,3,233,3,Regular Customers
3925,498,1,4758,2,3,3,233,3,Regular Customers
3970,455,1,4456,2,3,3,233,3,Regular Customers
3980,509,1,4792,2,3,3,233,3,Regular Customers
3981,564,1,4844,2,3,3,233,3,Regular Customers
3992,434,1,4687,2,3,3,233,3,Regular Customers
4004,504,1,4725,2,3,3,233,3,Regular Customers
4018,473,1,4760,2,3,3,233,3,Regular Customers
4022,557,1,4991,2,3,3,233,3,Regular Customers
4023,477,1,4713,2,3,3,233,3,Regular Customers
4026,503,1,4694,2,3,3,233,3,Regular Customers
4036,452,1,4985,2,3,3,233,3,Regular Customers
4061,560,1,4835,2,3,3,233,3,Regular Customers
4062,476,1,4763,2,3,3,233,3,Regular Customers
4070,574,1,4833,2,3,3,233,3,Regular Customers
4126,453,1,4765,2,3,3,233,3,Regular Customers
3352,572,1,3915,2,3,2,232,3,Regular Customers
3363,540,1,4086,2,3,2,232,3,Regular Customers
3427,461,1,3907,2,3,2,232,3,Regular Customers
3490,433,1,3894,2,3,2,232,3,Regular Customers
2915,549,1,5119,2,2,4,224,3,Regular Customers
2978,547,1,6043,2,2,4,224,0,Regular Customers
3114,450,1,5511,2,2,4,224,3,Regular Customers
3174,451,1,5409,2,2,4,224,3,Regular Customers
3277,500,1,5191,2,2,4,224,3,Regular Customers
3296,534,1,5302,2,2,4,224,3,Regular Customers
3312,563,1,5119,2,2,4,224,3,Regular Customers
3318,444,1,5217,2,2,4,224,3,Regular Customers
2367,548,1,4649,2,2,3,223,3,Regular Customers
2646,507,1,4150,2,2,3,223,3,Regular Customers
2762,436,1,4381,2,2,3,223,3,Regular Customers
2773,514,1,4294,2,2,3,223,3,Regular Customers
2778,520,1,4302,2,2,3,223,3,Regular Customers
2809,437,1,4308,2,2,3,223,3,Regular Customers
2916,521,1,4475,2,2,3,223,3,Regular Customers
2919,492,1,4334,2,2,3,223,3,Regular Customers
2921,471,1,4274,2,2,3,223,3,Regular Customers
2993,569,1,4460,2,2,3,223,3,Regular Customers
3077,472,1,4511,2,2,3,223,3,Regular Customers
3105,562,1,4744,2,2,3,223,3,Regular Customers
3138,541,1,4881,2,2,3,223,3,Regular Customers
3221,576,1,4906,2,2,3,223,3,Regular Customers
3237,570,1,4966,2,2,3,223,3,Regular Customers
3293,443,1,5041,2,2,3,223,3,Regular Customers
2298,528,1,3285,2,2,2,222,1,Regular Customers
2302,457,1,2918,2,2,2,222,1,Regular Customers
2482,506,1,3820,2,2,2,222,3,Regular Customers
2487,513,1,3785,2,2,2,222,3,Regular Customers
2556,527,1,3606,2,2,2,222,3,Regular Customers
2623,446,1,2913,2,2,2,222,1,Regular Customers
2624,499,1,3873,2,2,2,222,3,Regular Customers
2825,529,1,3387,2,2,2,222,3,Regular Customers
3115,445,1,3644,2,2,2,222,3,Regular Customers
3127,480,1,3544,2,2,2,222,3,Regular Customers
3152,530,1,3784,2,2,2,222,3,Regular Customers
3166,502,1,3805,2,2,2,222,3,Regular Customers
3176,522,1,3846,2,2,2,222,3,Regular Customers
3203,469,1,3641,2,2,2,222,3,Regular Customers
3222,565,1,3767,2,2,2,222,3,Regular Customers
3231,474,1,3659,2,2,2,222,3,Regular Customers
3240,456,1,3570,2,2,2,222,3,Regular Customers
3272,526,1,3840,2,2,2,222,3,Regular Customers
3291,431,1,3747,2,2,2,222,3,Regular Customers
3309,581,1,3982,2,2,2,222,3,Regular Customers
3311,561,1,4010,2,2,2,222,3,Regular Customers
2506,483,1,2710,2,2,1,221,1,Regular Customers
889,493,1,1115,2,1,1,211,1,Regular Customers
1689,481,1,1842,2,1,1,211,1,Regular Customers
1878,482,1,1996,2,1,1,211,1,Regular Customers
1949,458,1,2429,2,1,1,211,1,Regular Customers
2137,466,1,2395,2,1,1,211,1,Regular Customers
2170,440,1,2424,2,1,1,211,1,Regular Customers
2199,447,1,2416,2,1,1,211,1,Regular Customers
2713,303,2,7140,3,5,5,355,0,Regular Customers
3425,357,2,7211,3,5,5,355,0,Regular Customers
3578,330,2,7595,3,5,5,355,0,Regular Customers
3614,315,2,7644,3,5,5,355,0,Regular Customers
1707,365,3,6653,3,5,4,354,0,Regular Customers
4681,290,1,7836,3,4,5,345,0,Regular Customers
4460,295,1,5298,3,4,4,344,3,Regular Customers
4896,299,1,5382,3,4,4,344,3,Regular Customers
5085,294,1,5847,3,4,4,344,3,Regular Customers
5187,292,1,6192,3,4,4,344,0,Regular Customers
5315,293,1,6312,3,4,4,344,0,Regular Customers
4176,329,1,4375,3,4,3,343,3,Regular Customers
4185,336,1,4509,3,4,3,343,3,Regular Customers
4275,335,1,4579,3,4,3,343,3,Regular Customers
4379,314,1,4773,3,4,3,343,3,Regular Customers
4484,300,1,4916,3,4,3,343,3,Regular Customers
4546,313,1,5062,3,4,3,343,3,Regular Customers
3685,289,1,5892,3,3,4,334,0,Regular Customers
3451,360,1,4521,3,3,3,333,3,Regular Customers
3746,413,1,4195,3,3,3,333,3,Regular Customers
3803,342,1,4270,3,3,3,333,3,Regular Customers
3805,319,1,4154,3,3,3,333,3,Regular Customers
3816,426,1,4186,3,3,3,333,3,Regular Customers
3829,420,1,4205,3,3,3,333,3,Regular Customers
3830,291,1,4378,3,3,3,333,3,Regular Customers
3841,333,1,4151,3,3,3,333,3,Regular Customers
3891,414,1,4486,3,3,3,333,3,Regular Customers
3900,343,1,4339,3,3,3,333,3,Regular Customers
4028,321,1,4169,3,3,3,333,3,Regular Customers
4122,298,1,4569,3,3,3,333,3,Regular Customers
4134,308,1,4363,3,3,3,333,3,Regular Customers
3359,389,1,3620,3,3,2,332,3,Regular Customers
3368,385,1,3523,3,3,2,332,3,Regular Customers
3399,382,1,3577,3,3,2,332,3,Regular Customers
3498,337,1,3624,3,3,2,332,3,Regular Customers
3528,383,1,3709,3,3,2,332,3,Regular Customers
3534,378,1,3750,3,3,2,332,3,Regular Customers
3545,397,1,3727,3,3,2,332,3,Regular Customers
3562,384,1,3740,3,3,2,332,3,Regular Customers
3571,334,1,3761,3,3,2,332,3,Regular Customers
3576,424,1,4046,3,3,2,332,3,Regular Customers
3604,326,1,3831,3,3,2,332,3,Regular Customers
3656,425,1,3974,3,3,2,332,3,Regular Customers
3658,427,1,4068,3,3,2,332,3,Regular Customers
3662,421,1,4035,3,3,2,332,3,Regular Customers
3667,327,1,3830,3,3,2,332,3,Regular Customers
3672,396,1,3940,3,3,2,332,3,Regular Customers
3735,301,1,3956,3,3,2,332,3,Regular Customers
3787,322,1,3922,3,3,2,332,3,Regular Customers
3791,361,1,4098,3,3,2,332,3,Regular Customers
3804,419,1,4109,3,3,2,332,3,Regular Customers
3828,355,1,4097,3,3,2,332,3,Regular Customers
3831,341,1,4075,3,3,2,332,3,Regular Customers
2883,318,1,4318,3,2,3,323,3,Regular Customers
3253,296,1,4911,3,2,3,323,3,Regular Customers
2366,387,1,2743,3,2,2,322,1,Regular Customers
2415,311,1,2732,3,2,2,322,1,Regular Customers
2446,429,1,3331,3,2,2,322,3,Regular Customers
2448,332,1,2832,3,2,2,322,1,Regular Customers
2464,381,1,2739,3,2,2,322,1,Regular Customers
2508,368,1,2999,3,2,2,322,1,Regular Customers
2545,407,1,2765,3,2,2,322,1,Regular Customers
2627,316,1,3129,3,2,2,322,1,Regular Customers
2629,331,1,2947,3,2,2,322,1,Regular Customers
2685,338,1,3243,3,2,2,322,1,Regular Customers
2688,388,1,3190,3,2,2,322,1,Regular Customers
2693,328,1,2802,3,2,2,322,1,Regular Customers
2697,422,1,3649,3,2,2,322,3,Regular Customers
2720,409,1,3663,3,2,2,322,3,Regular Customers
2733,408,1,3520,3,2,2,322,3,Regular Customers
2743,418,1,2933,3,2,2,322,1,Regular Customers
2770,423,1,3926,3,2,2,322,3,Regular Customers
2792,416,1,4067,3,2,2,322,3,Regular Customers
2808,350,1,2935,3,2,2,322,1,Regular Customers
2818,399,1,2914,3,2,2,322,1,Regular Customers
2826,359,1,3425,3,2,2,322,3,Regular Customers
2841,376,1,3068,3,2,2,322,1,Regular Customers
2851,394,1,3485,3,2,2,322,3,Regular Customers
2874,310,1,3389,3,2,2,322,3,Regular Customers
2908,395,1,3614,3,2,2,322,3,Regular Customers
2914,411,1,3053,3,2,2,322,1,Regular Customers
2928,417,1,3368,3,2,2,322,3,Regular Customers
2931,320,1,3005,3,2,2,322,1,Regular Customers
2948,305,1,3194,3,2,2,322,1,Regular Customers
3040,354,1,3214,3,2,2,322,1,Regular Customers
3048,347,1,3163,3,2,2,322,1,Regular Customers
3110,304,1,4066,3,2,2,322,3,Regular Customers
3130,302,1,3333,3,2,2,322,3,Regular Customers
3132,362,1,3272,3,2,2,322,1,Regular Customers
3143,379,1,3403,3,2,2,322,3,Regular Customers
3147,410,1,3392,3,2,2,322,3,Regular Customers
3150,297,1,4118,3,2,2,322,3,Regular Customers
3162,348,1,3292,3,2,2,322,3,Regular Customers
3167,386,1,3310,3,2,2,322,3,Regular Customers
3172,390,1,3322,3,2,2,322,3,Regular Customers
3187,340,1,3456,3,2,2,322,3,Regular Customers
3241,312,1,3487,3,2,2,322,3,Regular Customers
3267,349,1,3376,3,2,2,322,3,Regular Customers
3307,428,1,3669,3,2,2,322,3,Regular Customers
3328,323,1,3422,3,2,2,322,3,Regular Customers
2454,405,1,2566,3,2,1,321,1,Regular Customers
2468,392,1,2594,3,2,1,321,1,Regular Customers
2553,377,1,2660,3,2,1,321,1,Regular Customers
1697,403,1,2792,3,1,2,312,1,Regular Customers
1819,402,1,3068,3,1,2,312,1,Regular Customers
2261,401,1,3071,3,1,2,312,1,Regular Customers
451,373,1,754,3,1,1,311,1,Regular Customers
570,430,1,627,3,1,1,311,1,Regular Customers
655,391,1,705,3,1,1,311,1,Regular Customers
856,374,1,1011,3,1,1,311,1,Regular Customers
887,372,1,1317,3,1,1,311,1,Regular Customers
935,404,1,1495,3,1,1,311,1,Regular Customers
1059,371,1,1162,3,1,1,311,1,Regular Customers
1234,346,1,1301,3,1,1,311,1,Regular Customers
1456,324,1,1529,3,1,1,311,1,Regular Customers
1538,406,1,1607,3,1,1,311,1,Regular Customers
1608,366,1,2294,3,1,1,311,1,Regular Customers
1672,412,1,1817,3,1,1,311,1,Regular Customers
1769,307,1,1834,3,1,1,311,1,Regular Customers
1781,345,1,1977,3,1,1,311,1,Regular Customers
1820,367,1,2485,3,1,1,311,1,Regular Customers
1977,325,1,2169,3,1,1,311,1,Regular Customers
2027,352,1,2311,3,1,1,311,1,Regular Customers
2046,375,1,2209,3,1,1,311,1,Regular Customers
2047,370,1,2302,3,1,1,311,1,Regular Customers
2071,317,1,2689,3,1,1,311,1,Regular Customers
2081,351,1,2298,3,1,1,311,1,Regular Customers
2085,356,1,2177,3,1,1,311,1,Regular Customers
2147,364,1,2236,3,1,1,311,1,Regular Customers
2160,353,1,2493,3,1,1,311,1,Regular Customers
2169,369,1,2423,3,1,1,311,1,Regular Customers
2211,380,1,2431,3,1,1,311,1,Regular Customers
2270,358,1,2376,3,1,1,311,1,Regular Customers
2273,363,1,2368,3,1,1,311,1,Regular Customers
2287,344,1,2432,3,1,1,311,1,Regular Customers
3594,214,2,8469,4,5,5,455,0,Regular Customers
3946,233,2,10748,4,5,5,455,2,Regular Customers
4111,170,2,10779,4,5,5,455,2,Regular Customers
4232,185,2,10655,4,5,5,455,2,Regular Customers
4614,171,2,12864,4,5,5,455,2,Regular Customers
4665,262,2,12450,4,5,5,455,2,Regular Customers
5265,239,2,12730,4,5,5,455,2,Regular Customers
5676,141,1,6883,4,5,5,455,0,Regular Customers
5711,222,2,13800,4,5,5,455,2,Regular Customers
5780,148,1,7013,4,5,5,455,0,Regular Customers
5825,159,1,6861,4,5,5,455,0,Regular Customers
5831,162,1,6966,4,5,5,455,0,Regular Customers
5893,284,1,8362,4,5,5,455,0,Regular Customers
5927,211,1,6998,4,5,5,455,0,Regular Customers
5950,256,1,7290,4,5,5,455,0,Regular Customers
5958,187,1,6879,4,5,5,455,0,Regular Customers
5988,172,1,7499,4,5,5,455,0,Regular Customers
5995,147,1,7273,4,5,5,455,0,Regular Customers
6028,209,1,7055,4,5,5,455,0,Regular Customers
6033,210,1,7001,4,5,5,455,0,Regular Customers
6065,155,1,7105,4,5,5,455,0,Regular Customers
6090,145,1,7286,4,5,5,455,0,Regular Customers
6102,200,1,7665,4,5,5,455,0,Regular Customers
6118,228,1,7639,4,5,5,455,0,Regular Customers
6142,229,1,7384,4,5,5,455,0,Regular Customers
6149,139,1,7347,4,5,5,455,0,Regular Customers
6183,201,1,7363,4,5,5,455,0,Regular Customers
6238,215,1,7338,4,5,5,455,0,Regular Customers
6248,154,3,22373,4,5,5,455,2,Regular Customers
6258,188,1,7335,4,5,5,455,0,Regular Customers
6267,138,1,7605,4,5,5,455,0,Regular Customers
6271,146,1,7534,4,5,5,455,0,Regular Customers
6278,152,1,7261,4,5,5,455,0,Regular Customers
6289,174,1,7264,4,5,5,455,0,Regular Customers
6365,189,1,7442,4,5,5,455,0,Regular Customers
6414,173,1,7446,4,5,5,455,0,Regular Customers
6433,230,1,7424,4,5,5,455,0,Regular Customers
6452,161,1,7592,4,5,5,455,0,Regular Customers
6456,208,1,7494,4,5,5,455,0,Regular Customers
6506,153,1,7580,4,5,5,455,0,Regular Customers
6790,160,1,8173,4,5,5,455,0,Regular Customers
5647,204,1,6664,4,5,4,454,0,Regular Customers
5656,140,1,6784,4,5,4,454,0,Regular Customers
5702,259,1,6691,4,5,4,454,0,Regular Customers
5703,166,1,6591,4,5,4,454,0,Regular Customers
5719,257,1,6565,4,5,4,454,0,Regular Customers
5742,169,1,6830,4,5,4,454,0,Regular Customers
5857,196,1,6825,4,5,4,454,0,Regular Customers
5865,168,1,6786,4,5,4,454,0,Regular Customers
6110,216,1,6855,4,5,4,454,0,Regular Customers
4286,261,1,7132,4,4,5,445,0,Regular Customers
4340,191,1,6891,4,4,5,445,0,Regular Customers
4344,198,1,6978,4,4,5,445,0,Regular Customers
4387,241,1,6883,4,4,5,445,0,Regular Customers
4425,226,1,7129,4,4,5,445,0,Regular Customers
4739,199,1,7702,4,4,5,445,0,Regular Customers
4790,206,1,7498,4,4,5,445,0,Regular Customers
4801,192,1,7458,4,4,5,445,0,Regular Customers
4807,234,1,7429,4,4,5,445,0,Regular Customers
4866,163,1,7410,4,4,5,445,0,Regular Customers
4884,227,1,8294,4,4,5,445,0,Regular Customers
5325,213,1,8120,4,4,5,445,0,Regular Customers
5537,285,1,6871,4,4,5,445,0,Regular Customers
5645,158,1,6904,4,4,5,445,0,Regular Customers
4362,142,1,6544,4,4,4,444,0,Regular Customers
4374,205,1,6598,4,4,4,444,0,Regular Customers
4444,156,1,6597,4,4,4,444,0,Regular Customers
4451,157,1,6685,4,4,4,444,0,Regular Customers
4479,150,1,6824,4,4,4,444,0,Regular Customers
4490,231,1,5115,4,4,4,444,3,Regular Customers
4494,223,1,5260,4,4,4,444,3,Regular Customers
4634,186,1,5463,4,4,4,444,3,Regular Customers
4653,270,1,6460,4,4,4,444,0,Regular Customers
4663,277,1,5459,4,4,4,444,3,Regular Customers
4680,267,1,5585,4,4,4,444,3,Regular Customers
4721,144,1,5786,4,4,4,444,3,Regular Customers
4728,274,1,5936,4,4,4,444,0,Regular Customers
4746,264,1,5409,4,4,4,444,3,Regular Customers
4763,281,1,5558,4,4,4,444,3,Regular Customers
4836,180,1,6241,4,4,4,444,0,Regular Customers
4859,193,1,5823,4,4,4,444,3,Regular Customers
4863,217,1,5743,4,4,4,444,3,Regular Customers
4907,246,1,5572,4,4,4,444,3,Regular Customers
4914,167,1,5713,4,4,4,444,3,Regular Customers
4990,238,1,5728,4,4,4,444,3,Regular Customers
5024,279,1,5698,4,4,4,444,3,Regular Customers
5042,287,1,6093,4,4,4,444,0,Regular Customers
5087,245,1,5740,4,4,4,444,3,Regular Customers
5099,266,1,5918,4,4,4,444,0,Regular Customers
5108,286,1,6230,4,4,4,444,0,Regular Customers
5123,165,1,5870,4,4,4,444,0,Regular Customers
5127,194,1,5905,4,4,4,444,0,Regular Customers
5146,263,1,6398,4,4,4,444,0,Regular Customers
5171,288,1,6153,4,4,4,444,0,Regular Customers
5227,242,1,6296,4,4,4,444,0,Regular Customers
5254,224,1,6073,4,4,4,444,0,Regular Customers
5299,278,1,6133,4,4,4,444,0,Regular Customers
5317,221,1,6734,4,4,4,444,0,Regular Customers
5323,183,1,6227,4,4,4,444,0,Regular Customers
5336,175,1,6290,4,4,4,444,0,Regular Customers
5339,195,1,6211,4,4,4,444,0,Regular Customers
5378,272,1,6436,4,4,4,444,0,Regular Customers
5424,273,1,6772,4,4,4,444,0,Regular Customers
5502,244,1,6169,4,4,4,444,0,Regular Customers
5541,251,1,6196,4,4,4,444,0,Regular Customers
5546,236,1,6572,4,4,4,444,0,Regular Customers
5571,176,1,6569,4,4,4,444,0,Regular Customers
5608,182,1,6660,4,4,4,444,0,Regular Customers
5640,190,1,6779,4,4,4,444,0,Regular Customers
